Табельный номер,Фамилия.И.О.,Пол,Год рождения,Год начала работы,Подразделение экономической деятельности,Должность,Состояние,Колличество предприятий
287,Гусева А. Щ.,Женщина,1974,2022,Казанская область,Долл Миллионер,843000000,2
288,Денисова Е. Щ.,Женщина,1996,2022,Ульяновская область,Долл Миллионер,541000000,11
289,Григорьева К. Ю.,Женщина,1958,2022,Ульяновская область,Долл Миллиардер,75000000,3
290,Копорский А. И.,Мужчина,1971,2008,Ульяновская область,Долл Миллионер,805000000,9
291,Моклашин Т. Я.,Мужчина,2004,2022,Республика Татарстан,Долл Миллиардер,189000000,0
292,Ширяева Ф. Ю.,Женщина,1977,2022,Ульяновская область,Руб Миллионер,256000000,15
293,Кудряшова Д. Я.,Женщина,1970,2004,Ульяновская область,Руб Миллионер,838000000,4
294,Дмитриева Л. Г.,Женщина,1966,1990,Республика Татарстан,Руб Миллиардер,394000000,3
295,Никифорова Н. Ч.,Женщина,1966,1987,Ульяновская область,Руб Миллиардер,551000000,7
296,Лайков Ю. Щ.,Мужчина,1968,2022,Ульяновская область,Долл Миллионер,481000000,5
297,Казеев Я. Щ.,Мужчина,1998,2022,Республика Татарстан,Долл Миллионер,712000000,5
298,Витенев Я. А.,Мужчина,1965,1988,Ульяновская область,Долл Миллионер,61000000,12
299,Макарь Е. З.,Мужчина,2009,2022,Республика Татарстан,Руб Миллионер,116000000,5
300,Чердынин К. С.,Мужчина,2001,2022,Казанская область,Долл Миллионер,395000000,5
301,Маркова М. Н.,Женщина,2007,2022,Казанская область,Руб Миллиардер,212000000,8
302,Цигенбаум Ё. П.,Мужчина,2005,2022,Ульяновская область,Руб Миллионер,393000000,9
303,Давыдова Д. Ц.,Женщина,1954,2022,Ульяновская область,Руб Миллиардер,732000000,5
304,Быкова Б. С.,Женщина,1977,2022,Республика Татарстан,Руб Миллиардер,31000000,2
305,Комарова Ф. Э.,Женщина,1993,2022,Ульяновская область,Руб Миллиардер,566000000,8
306,Яковлева М. И.,Женщина,1998,2022,Казанская область,Руб Миллиардер,352000000,15
307,Анисимова П. Е.,Женщина,1975,1987,Казанская область,Долл Миллиардер,10000000,7
308,Рябова Д. А.,Женщина,2002,2022,Республика Татарстан,Долл Миллиардер,688000000,2
309,Ковалёва Г. Б.,Женщина,1979,2022,Ульяновская область,Долл Миллионер,449000000,13
310,Устюжников Я. Р.,Мужчина,1954,2022,Республика Татарстан,Долл Миллионер,296000000,1
311,Дорофеева Н. Й.,Женщина,1953,2022,Казанская область,Руб Миллиардер,673000000,7
312,Ковтун Ж. Й.,Мужчина,1981,2022,Казанская область,Руб Миллионер,216000000,3
313,Миронова Н. Л.,Женщина,1983,2022,Казанская область,Долл Миллионер,696000000,3
314,Ленов И. Д.,Мужчина,1962,2002,Казанская область,Долл Миллионер,494000000,7
315,Архипова Э. Е.,Женщина,1960,2004,Республика Татарстан,Руб Миллиардер,303000000,0
316,Колесникова Ш. Ц.,Женщина,1966,1995,Республика Татарстан,Долл Миллионер,968000000,13
317,Тульчинский Т. В.,Мужчина,1966,2012,Республика Татарстан,Руб Миллионер,838000000,4
318,Леньков М. И.,Мужчина,1960,1984,Казанская область,Руб Миллиардер,930000000,4
319,Миронова Ч. Х.,Женщина,1952,1975,Казанская область,Долл Миллиардер,119000000,15
320,Гагрин Т. Н.,Мужчина,1979,2022,Республика Татарстан,Руб Миллиардер,74000000,14
321,Демьянок Ё. Ф.,Мужчина,2003,2022,Республика Татарстан,Руб Миллиардер,818000000,11
322,Журавлёва Ш. К.,Женщина,1990,2022,Республика Татарстан,Руб Миллиардер,651000000,11
323,Герасимова Ч. Д.,Женщина,1992,2022,Ульяновская область,Долл Миллионер,725000000,3
324,Фролова А. О.,Женщина,1979,2022,Республика Татарстан,Долл Миллионер,447000000,4
325,Никифорова В. К.,Женщина,1958,2008,Ульяновская область,Руб Миллионер,982000000,4
326,Данилова Ё. Ю.,Женщина,2010,2022,Казанская область,Долл Миллиардер,756000000,8
327,Макарова П. З.,Женщина,2005,2022,Республика Татарстан,Долл Миллионер,97000000,2
328,Дмитриева К. Н.,Женщина,1951,2022,Казанская область,Долл Миллиардер,664000000,11
329,Маганов Т. Г.,Мужчина,1952,2022,Республика Татарстан,Руб Миллионер,147000000,8
330,Маевич Ч. Ц.,Мужчина,1957,2022,Республика Татарстан,Долл Миллионер,864000000,2
331,Хренов К. Ю.,Мужчина,1970,2022,Республика Татарстан,Руб Миллиардер,370000000,3
332,Марисов П. Д.,Мужчина,1962,2022,Республика Татарстан,Долл Миллионер,785000000,7
333,Зуева К. У.,Женщина,1978,2022,Ульяновская область,Долл Миллиардер,628000000,1
334,Никитина М. Т.,Женщина,1963,2022,Ульяновская область,Руб Миллионер,556000000,7
335,Автайкин Э. Т.,Мужчина,1970,2022,Казанская область,Долл Миллионер,837000000,5
336,Ордин А. Я.,Мужчина,1950,2022,Казанская область,Долл Миллионер,304000000,10
337,Анисимова Г. Х.,Женщина,2005,2022,Казанская область,Руб Миллионер,297000000,12
338,Матвеева З. Ч.,Женщина,1996,2022,Ульяновская область,Долл Миллионер,541000000,5
339,Герасимова Г. Й.,Женщина,1987,2022,Казанская область,Руб Миллиардер,657000000,2
340,Веселова З. О.,Женщина,1982,1999,Казанская область,Долл Миллиардер,228000000,2
341,Власова Ю. Г.,Женщина,1961,2022,Республика Татарстан,Долл Миллионер,161000000,1
342,Хатюшин М. У.,Мужчина,1970,2022,Республика Татарстан,Руб Миллиардер,774000000,14
343,Тимофеева Б. Ш.,Женщина,2009,2022,Ульяновская область,Долл Миллиардер,884000000,12
344,Разносчиков Ш. Г.,Мужчина,1957,1969,Республика Татарстан,Руб Миллионер,19000000,7
345,Беляева С. Г.,Женщина,1983,2022,Ульяновская область,Долл Миллиардер,822000000,7
346,Ветошкин С. К.,Мужчина,1956,1997,Республика Татарстан,Руб Миллиардер,485000000,1
347,Емельянова Е. Ш.,Женщина,1984,2010,Республика Татарстан,Долл Миллиардер,528000000,13
348,Часоводов Й. Т.,Мужчина,1962,1982,Казанская область,Руб Миллиардер,868000000,0
349,Горбунова О. И.,Женщина,1997,2022,Ульяновская область,Долл Миллиардер,333000000,9
350,Сергеева Д. Д.,Женщина,1952,2019,Ульяновская область,Руб Миллионер,387000000,6
351,Григорьева Е. Т.,Женщина,1971,1996,Казанская область,Долл Миллионер,455000000,6
352,Губин К. Э.,Мужчина,1957,2022,Ульяновская область,Долл Миллиардер,918000000,10
353,Александрова В. Й.,Женщина,1961,1988,Ульяновская область,Руб Миллиардер,355000000,2
354,Соболева Я. Д.,Женщина,1983,2022,Казанская область,Долл Миллиардер,793000000,6
355,Ботаногов И. М.,Мужчина,1957,1973,Казанская область,Руб Миллионер,492000000,12
356,Платонов П. Щ.,Мужчина,1971,2022,Казанская область,Долл Миллиардер,409000000,15
357,Крылова Э. Щ.,Женщина,1977,1991,Республика Татарстан,Долл Миллиардер,167000000,5
358,Мурзич И. Р.,Мужчина,1958,2010,Ульяновская область,Руб Миллиардер,675000000,15
359,Кошутин Ё. Ж.,Мужчина,1959,2022,Республика Татарстан,Руб Миллионер,69000000,3
360,Яхимович П. Ш.,Мужчина,1960,1993,Ульяновская область,Руб Миллиардер,87000000,7
361,Мосяков Ю. Л.,Мужчина,1999,2022,Ульяновская область,Долл Миллиардер,856000000,7
362,Большакова Л. Э.,Женщина,1988,2022,Ульяновская область,Руб Миллионер,94000000,14
363,Дмитриева М. Б.,Женщина,1971,2021,Ульяновская область,Руб Миллионер,193000000,11
364,Тимофеева Й. К.,Женщина,1979,2022,Республика Татарстан,Долл Миллиардер,325000000,7
365,Павликов Ф. К.,Мужчина,2010,2022,Казанская область,Руб Миллионер,172000000,12
366,Якуников У. Й.,Мужчина,1951,1966,Ульяновская область,Долл Миллионер,787000000,15
367,Чуканов У. Г.,Мужчина,1996,2015,Казанская область,Долл Миллиардер,50000000,11
368,Лысин Ш. Н.,Мужчина,1991,2022,Республика Татарстан,Руб Миллионер,479000000,1
369,Горбунова Д. Т.,Женщина,2003,2022,Ульяновская область,Руб Миллиардер,288000000,13
370,Яковлева Ш. Щ.,Женщина,1953,2022,Ульяновская область,Руб Миллионер,837000000,4
371,Большакова Ч. К.,Женщина,1986,2011,Ульяновская область,Руб Миллионер,830000000,15
372,Цапакин А. Щ.,Мужчина,1953,2019,Казанская область,Руб Миллионер,245000000,1
373,Григорьева Г. Ф.,Женщина,1992,2022,Казанская область,Руб Миллиардер,753000000,0
374,Григорьева Я. И.,Женщина,1964,1994,Казанская область,Руб Миллионер,233000000,12
375,Рыбакова Х. И.,Женщина,1962,1984,Казанская область,Руб Миллиардер,106000000,7
376,Скороделов И. Р.,Мужчина,1985,2022,Республика Татарстан,Руб Миллионер,347000000,10
377,Пикалев Ё. Т.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,430000000,9
378,Глызов Т. Ф.,Мужчина,1975,2012,Республика Татарстан,Долл Миллиардер,760000000,6
379,Шестакова Д. Д.,Женщина,1969,2001,Ульяновская область,Руб Миллиардер,753000000,0
380,Громова Ш. Ю.,Женщина,2004,2022,Республика Татарстан,Руб Миллиардер,331000000,15
381,Орфеев Э. Л.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,909000000,0
382,Можаитинов Э. Л.,Мужчина,2005,2022,Республика Татарстан,Долл Миллиардер,316000000,15
383,Доильницын Щ. Ф.,Мужчина,1983,2022,Республика Татарстан,Долл Миллионер,644000000,5
384,Андреева Я. Е.,Женщина,1997,2022,Казанская область,Долл Миллиардер,434000000,10
385,Куликова К. З.,Женщина,1988,2022,Ульяновская область,Руб Миллионер,168000000,15
386,Федотова Ё. О.,Женщина,1966,1992,Республика Татарстан,Руб Миллионер,158000000,2
387,Тихонова К. И.,Женщина,2006,2022,Ульяновская область,Руб Миллионер,615000000,10
388,Дюжев Д. Ч.,Мужчина,1961,2020,Ульяновская область,Руб Миллиардер,519000000,7
389,Шумарин Л. В.,Мужчина,1994,2022,Республика Татарстан,Руб Миллиардер,642000000,0
390,Глазырин Ч. Ч.,Мужчина,1991,2022,Казанская область,Долл Миллиардер,784000000,1
391,Тимофеева У. В.,Женщина,1961,2022,Ульяновская область,Долл Миллиардер,783000000,0
392,Баранова Э. Й.,Женщина,1980,2004,Казанская область,Долл Миллионер,632000000,10
393,Пашенков Ш. Е.,Мужчина,2000,2022,Казанская область,Долл Миллионер,376000000,15
394,Анисимова Д. С.,Женщина,1979,2015,Казанская область,Долл Миллионер,455000000,2
395,Маслова Е. Ю.,Женщина,2002,2022,Ульяновская область,Долл Миллионер,947000000,0
396,Анисимова О. Щ.,Женщина,1951,2007,Ульяновская область,Руб Миллионер,547000000,9
397,Рыбакова Н. Й.,Женщина,1980,2022,Ульяновская область,Руб Миллиардер,861000000,14
398,Гаврилова П. Т.,Женщина,1973,2015,Казанская область,Долл Миллиардер,707000000,5
399,Борковский Э. А.,Мужчина,1980,2022,Республика Татарстан,Руб Миллионер,330000000,13
400,Зуева Г. Ю.,Женщина,1966,2004,Республика Татарстан,Долл Миллионер,556000000,2
401,Зуева О. Ф.,Женщина,1962,1974,Казанская область,Долл Миллионер,873000000,6
402,Фролова Й. Ф.,Женщина,1968,2022,Казанская область,Долл Миллиардер,927000000,1
403,Глумцов З. Ю.,Мужчина,1983,2022,Республика Татарстан,Долл Миллиардер,189000000,6
404,Магеров Я. Е.,Мужчина,2003,2022,Ульяновская область,Руб Миллионер,690000000,1
405,Нардов А. Й.,Мужчина,1979,2009,Ульяновская область,Руб Миллиардер,782000000,5
406,Шарыпов Й. Л.,Мужчина,1990,2022,Казанская область,Руб Миллионер,555000000,13
407,Карпова О. Т.,Женщина,1950,2005,Ульяновская область,Руб Миллиардер,552000000,10
408,Василенков Й. П.,Мужчина,1997,2022,Ульяновская область,Руб Миллиардер,354000000,13
409,Кашкарев Б. Х.,Мужчина,1986,2022,Ульяновская область,Руб Миллиардер,683000000,14
410,Балагушин Щ. Г.,Мужчина,1951,1990,Казанская область,Руб Миллиардер,849000000,13
411,Сафоненко Д. У.,Мужчина,2006,2022,Республика Татарстан,Руб Миллионер,168000000,11
412,Плетнев Ю. И.,Мужчина,1989,2002,Ульяновская область,Руб Миллиардер,626000000,1
413,Горбунова Х. О.,Женщина,1975,2022,Республика Татарстан,Руб Миллионер,96000000,5
414,Калинина Г. Л.,Женщина,1973,2010,Ульяновская область,Руб Миллиардер,863000000,15
415,Пиорковский Ф. Н.,Мужчина,1956,2022,Казанская область,Руб Миллионер,453000000,1
416,Скоропись Ю. Ё.,Мужчина,1950,1999,Ульяновская область,Долл Миллиардер,629000000,1
417,Ларионов Й. Й.,Мужчина,1953,2022,Республика Татарстан,Руб Миллиардер,400000000,0
418,Руденок Ц. О.,Мужчина,1990,2022,Республика Татарстан,Руб Миллионер,932000000,13
419,Печеницын Ц. И.,Мужчина,1979,2022,Ульяновская область,Руб Миллиардер,325000000,13
420,Ростовщиков Ю. Щ.,Мужчина,1977,2022,Ульяновская область,Долл Миллиардер,664000000,13
421,Шиваров Г. Х.,Мужчина,1985,2022,Республика Татарстан,Долл Миллионер,164000000,13
422,Резвых Ц. Н.,Мужчина,1976,2017,Казанская область,Руб Миллионер,845000000,5
423,Кудин Ж. Ш.,Мужчина,1981,2011,Республика Татарстан,Руб Миллионер,109000000,2
424,Осипова К. З.,Женщина,1984,2006,Казанская область,Долл Миллионер,911000000,13
425,Яковлева Ё. Т.,Женщина,1966,2022,Республика Татарстан,Руб Миллионер,699000000,5
426,Матвеева Н. О.,Женщина,1952,2022,Ульяновская область,Долл Миллиардер,968000000,8
427,Ткач Б. Ц.,Мужчина,1991,2022,Казанская область,Руб Миллионер,260000000,3
428,Никитина Ю. Я.,Женщина,1954,1984,Республика Татарстан,Руб Миллиардер,414000000,0
429,Политов Н. И.,Мужчина,1958,2022,Республика Татарстан,Долл Миллионер,691000000,6
430,Азанов В. Т.,Мужчина,1993,2022,Ульяновская область,Руб Миллионер,249000000,0
431,Аггеев Ю. Щ.,Мужчина,1969,2009,Казанская область,Долл Миллиардер,459000000,15
432,Кирилычев Ц. Ш.,Мужчина,2002,2022,Казанская область,Руб Миллионер,173000000,1
433,Исакова Н. Ш.,Женщина,1976,2022,Ульяновская область,Руб Миллиардер,14000000,6
434,Котова П. Г.,Женщина,1956,2022,Ульяновская область,Долл Миллионер,312000000,10
435,Просвиров З. Н.,Мужчина,2010,2022,Ульяновская область,Руб Миллиардер,429000000,10
436,Памфилов И. Б.,Мужчина,1988,2022,Республика Татарстан,Долл Миллионер,743000000,10
437,Макридин О. Ф.,Мужчина,2002,2022,Республика Татарстан,Руб Миллионер,975000000,0
438,Ордин П. Р.,Мужчина,1992,2009,Республика Татарстан,Долл Миллиардер,498000000,1
439,Сергун У. Ш.,Мужчина,1955,1992,Ульяновская область,Долл Миллионер,174000000,2
440,Паленов А. Г.,Мужчина,1950,2019,Ульяновская область,Долл Миллиардер,975000000,0
441,Кравченко Л. Э.,Мужчина,1997,2022,Казанская область,Руб Миллионер,642000000,1
442,Нагорных Н. Ё.,Мужчина,1984,2022,Республика Татарстан,Долл Миллионер,715000000,13
443,Трунин Ч. Щ.,Мужчина,1960,2022,Ульяновская область,Долл Миллионер,161000000,2
444,Дмитриева М. Ё.,Женщина,1957,1983,Республика Татарстан,Руб Миллионер,846000000,6
445,Сергеева А. А.,Женщина,2007,2022,Казанская область,Руб Миллионер,278000000,4
446,Щербакова Ё. Е.,Женщина,1953,1989,Казанская область,Долл Миллионер,733000000,1
447,Рябова Ч. Н.,Женщина,1951,2022,Ульяновская область,Руб Миллиардер,999000000,12
448,Михайлов Е. Ё.,Мужчина,1994,2022,Казанская область,Руб Миллиардер,865000000,12
449,Ягьяев Е. Ф.,Мужчина,1969,2022,Казанская область,Руб Миллионер,480000000,4
450,Архипова Е. О.,Женщина,1973,2022,Ульяновская область,Руб Миллиардер,277000000,13
451,Третьякова Ц. Ф.,Женщина,1971,2022,Казанская область,Долл Миллионер,118000000,7
452,Карпуничев Ё. Ё.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,82000000,5
453,Третьякова З. Р.,Женщина,1982,2022,Казанская область,Руб Миллиардер,284000000,5
454,Коновалова Ч. З.,Женщина,1981,2022,Казанская область,Долл Миллиардер,132000000,11
455,Блинова Ц. И.,Женщина,1982,2022,Ульяновская область,Долл Миллионер,923000000,10
456,Демянко Ч. Щ.,Мужчина,1973,2022,Республика Татарстан,Руб Миллиардер,723000000,4
457,Макарова Т. Й.,Женщина,1999,2022,Республика Татарстан,Долл Миллионер,245000000,4
458,Немечик П. С.,Мужчина,1991,2022,Казанская область,Руб Миллиардер,172000000,7
459,Магдалинский П. Ч.,Мужчина,1992,2022,Республика Татарстан,Долл Миллионер,339000000,1
460,Яковлева Э. О.,Женщина,1951,2022,Казанская область,Руб Миллионер,219000000,15
461,Поткин Х. О.,Мужчина,1996,2012,Республика Татарстан,Руб Миллиардер,870000000,11
462,Беспрозванный Ш. Ё.,Мужчина,1995,2022,Ульяновская область,Долл Миллиардер,546000000,11
463,Корчак И. С.,Мужчина,1967,2020,Ульяновская область,Руб Миллиардер,65000000,0
464,Поводырев Н. Г.,Мужчина,1977,2010,Республика Татарстан,Руб Миллиардер,548000000,13
465,Сидорова З. Д.,Женщина,2002,2022,Казанская область,Руб Миллиардер,23000000,11
466,Похлебкин З. Е.,Мужчина,1979,2015,Республика Татарстан,Руб Миллионер,575000000,10
467,Тихонова Б. З.,Женщина,1983,2007,Ульяновская область,Долл Миллионер,624000000,9
468,Кузянин П. Ж.,Мужчина,1950,1980,Республика Татарстан,Руб Миллионер,732000000,3
469,Медынцев Х. Л.,Мужчина,1982,2019,Казанская область,Руб Миллионер,786000000,7
470,Якшин Л. Д.,Мужчина,2003,2022,Казанская область,Руб Миллионер,182000000,1
471,Недобров Р. Й.,Мужчина,1971,1989,Республика Татарстан,Руб Миллиардер,875000000,7
472,Максутов С. Х.,Мужчина,2009,2022,Казанская область,Долл Миллионер,386000000,0
473,Матвеева П. В.,Женщина,1950,1990,Ульяновская область,Долл Миллиардер,231000000,5
474,Селезнёва С. Ф.,Женщина,1965,2022,Казанская область,Долл Миллиардер,654000000,6
475,Пивцаев Й. К.,Мужчина,2003,2022,Республика Татарстан,Долл Миллиардер,503000000,1
476,Дорофеева Ч. Н.,Женщина,1975,2022,Республика Татарстан,Руб Миллиардер,228000000,5
477,Селезнёва Ц. Ю.,Женщина,1995,2022,Ульяновская область,Долл Миллиардер,516000000,13
478,Данилова К. Ю.,Женщина,1958,2001,Ульяновская область,Долл Миллиардер,156000000,6
479,Крутихин Л. З.,Мужчина,1989,2022,Казанская область,Долл Миллионер,78000000,9
480,Лукашов Х. Ш.,Мужчина,1997,2022,Ульяновская область,Руб Миллионер,157000000,3
481,Булочников М. Т.,Мужчина,1972,2022,Республика Татарстан,Долл Миллионер,304000000,14
482,Тарабукин М. Я.,Мужчина,1990,2015,Республика Татарстан,Долл Миллионер,228000000,15
483,Урсул Ш. И.,Мужчина,1964,2000,Республика Татарстан,Долл Миллиардер,175000000,5
484,Шмид Я. Ш.,Мужчина,1977,1998,Ульяновская область,Долл Миллиардер,132000000,2
485,Сеченов Д. Й.,Мужчина,1957,2022,Казанская область,Руб Миллионер,999000000,3
486,Степанова Й. К.,Женщина,1987,2022,Республика Татарстан,Долл Миллионер,394000000,7
487,Булатов Ш. Ю.,Мужчина,2004,2022,Казанская область,Руб Миллиардер,608000000,7
488,Маслова Э. Ч.,Женщина,2008,2022,Республика Татарстан,Руб Миллиардер,327000000,14
489,Егорова Е. Н.,Женщина,1966,2021,Казанская область,Долл Миллиардер,592000000,1
490,Лагутенок С. И.,Мужчина,1972,2022,Ульяновская область,Руб Миллиардер,175000000,10
491,Маслова Л. Ф.,Женщина,2010,2022,Ульяновская область,Руб Миллионер,383000000,7
492,Исакова Ш. К.,Женщина,1994,2022,Казанская область,Руб Миллионер,302000000,15
493,Третьякова В. Ж.,Женщина,1985,2003,Ульяновская область,Руб Миллиардер,585000000,0
494,Громова О. И.,Женщина,1966,2022,Республика Татарстан,Долл Миллионер,554000000,14
495,Карпенев Э. Ж.,Мужчина,1995,2022,Казанская область,Долл Миллиардер,196000000,6
496,Леонтьевский У. М.,Мужчина,2010,2022,Республика Татарстан,Долл Миллиардер,215000000,2
497,Сорокина О. Х.,Женщина,2000,2022,Ульяновская область,Руб Миллиардер,239000000,13
498,Афанасьева Г. Х.,Женщина,1997,2022,Ульяновская область,Руб Миллиардер,474000000,7
499,Гаврилова Е. Э.,Женщина,1982,2022,Республика Татарстан,Долл Миллионер,355000000,4
500,Шерапов Ж. Ш.,Мужчина,1956,1968,Казанская область,Руб Миллионер,660000000,3
501,Щуплов Н. Я.,Мужчина,2004,2022,Ульяновская область,Долл Миллиардер,254000000,7
502,Яковлева С. Э.,Женщина,1960,2005,Ульяновская область,Руб Миллионер,490000000,8
503,Мокроносов О. Ё.,Мужчина,1991,2022,Ульяновская область,Долл Миллиардер,266000000,13
504,Сидочук Ф. К.,Мужчина,1957,2022,Ульяновская область,Руб Миллиардер,292000000,12
505,Горячкин У. З.,Мужчина,1991,2015,Ульяновская область,Долл Миллионер,626000000,3
506,Медведева Ё. Н.,Женщина,1952,2015,Ульяновская область,Руб Миллиардер,808000000,14
507,Кузмиченко Й. Ю.,Мужчина,1974,2022,Ульяновская область,Руб Миллионер,433000000,8
508,Щербакова З. Я.,Женщина,1950,1967,Ульяновская область,Долл Миллиардер,606000000,8
509,Безбабич Г. Э.,Мужчина,1987,2022,Казанская область,Долл Миллионер,160000000,5
510,Орел Р. Й.,Мужчина,2010,2022,Казанская область,Руб Миллиардер,379000000,12
511,Микульский Л. Н.,Мужчина,1987,2019,Ульяновская область,Долл Миллионер,126000000,13
512,Горшкова Г. Д.,Женщина,1991,2022,Ульяновская область,Руб Миллиардер,945000000,6
513,Сегал И. Ч.,Мужчина,1998,2022,Ульяновская область,Руб Миллионер,193000000,13
514,Панфилова В. В.,Женщина,1964,1993,Ульяновская область,Долл Миллиардер,804000000,13
515,Сорокина Б. Я.,Женщина,1990,2022,Ульяновская область,Руб Миллиардер,272000000,12
516,Королёва С. Д.,Женщина,1969,2022,Казанская область,Руб Миллиардер,944000000,0
517,Лайков Б. З.,Мужчина,1965,2007,Казанская область,Руб Миллиардер,491000000,0
518,Александрова Ю. Ц.,Женщина,1986,2022,Ульяновская область,Долл Миллиардер,32000000,2
519,Романихин Д. А.,Мужчина,1992,2022,Ульяновская область,Долл Миллиардер,870000000,3
520,Канаев Л. С.,Мужчина,1970,2022,Казанская область,Долл Миллионер,850000000,5
521,Борисова В. А.,Женщина,1974,2022,Казанская область,Руб Миллиардер,621000000,14
522,Якиманский Е. Х.,Мужчина,2010,2022,Республика Татарстан,Долл Миллиардер,702000000,14
523,Леншин Р. Щ.,Мужчина,1965,1987,Казанская область,Долл Миллиардер,207000000,7
524,Манеркин О. Х.,Мужчина,2004,2022,Ульяновская область,Руб Миллионер,557000000,5
525,Кузьмина В. Ю.,Женщина,1990,2011,Республика Татарстан,Долл Миллиардер,831000000,0
526,Локсеев С. З.,Мужчина,1968,1988,Ульяновская область,Долл Миллиардер,237000000,2
527,Григорьева И. В.,Женщина,1960,1999,Ульяновская область,Долл Миллиардер,97000000,11
528,Наврозов Ю. О.,Мужчина,1959,1982,Ульяновская область,Долл Миллионер,72000000,0
529,Исакова Т. Й.,Женщина,1997,2022,Ульяновская область,Руб Миллионер,409000000,14
530,Мананков Я. Ж.,Мужчина,1971,2005,Ульяновская область,Долл Миллиардер,631000000,12
531,Шеломатов В. Ё.,Мужчина,1972,2022,Казанская область,Руб Миллиардер,582000000,4
532,Белусяк Е. Ф.,Мужчина,1983,2022,Ульяновская область,Долл Миллионер,166000000,15
533,Савельева Щ. Э.,Женщина,1962,2020,Республика Татарстан,Долл Миллиардер,912000000,7
534,Филиппова Ю. С.,Женщина,1988,2022,Республика Татарстан,Руб Миллионер,991000000,1
535,Давыдова А. Р.,Женщина,1954,2022,Ульяновская область,Долл Миллионер,918000000,7
536,Яковлева Ж. К.,Женщина,1985,2022,Республика Татарстан,Руб Миллионер,605000000,13
537,Копылова Г. Ж.,Женщина,1977,2001,Республика Татарстан,Руб Миллиардер,283000000,11
538,Копылова М. Й.,Женщина,1988,2022,Казанская область,Долл Миллионер,845000000,11
539,Григорьева Ё. Ж.,Женщина,1994,2022,Казанская область,Руб Миллиардер,102000000,10
540,Вовкогонов Л. Д.,Мужчина,1994,2014,Ульяновская область,Руб Миллиардер,172000000,11
541,Никитин Ж. О.,Мужчина,2008,2022,Казанская область,Долл Миллионер,163000000,3
542,Миронова Я. Й.,Женщина,1980,2003,Ульяновская область,Долл Миллиардер,800000000,8
543,Обрядин З. О.,Мужчина,1957,2022,Казанская область,Руб Миллионер,8000000,15
544,Худошин К. К.,Мужчина,1960,2022,Республика Татарстан,Долл Миллионер,997000000,9
545,Горбунков К. Ч.,Мужчина,1951,1987,Казанская область,Долл Миллиардер,3000000,1
546,Архипова Ж. У.,Женщина,1972,2022,Казанская область,Руб Миллионер,222000000,1
547,Яковлева Щ. П.,Женщина,1952,1995,Казанская область,Долл Миллиардер,873000000,6
548,Демчинят Ч. С.,Мужчина,1981,2022,Ульяновская область,Руб Миллионер,204000000,11
549,Ковалёва Л. О.,Женщина,1994,2022,Республика Татарстан,Долл Миллионер,461000000,7
550,Князев Ф. З.,Мужчина,2001,2022,Ульяновская область,Долл Миллионер,666000000,1
551,Цибулька К. Э.,Мужчина,2004,2022,Казанская область,Руб Миллиардер,576000000,9
552,Орлова В. У.,Женщина,1974,2022,Казанская область,Руб Миллионер,104000000,5
553,Маркцев Й. Я.,Мужчина,2007,2022,Казанская область,Руб Миллионер,38000000,12
554,Цируль Б. Г.,Мужчина,1952,2012,Казанская область,Руб Миллиардер,554000000,10
555,Бобрин К. А.,Мужчина,1971,2022,Республика Татарстан,Руб Миллионер,758000000,2
556,Фролочкин С. П.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,416000000,2
557,Сорокина М. Е.,Женщина,2010,2022,Ульяновская область,Руб Миллионер,571000000,7
558,Панфилова Щ. И.,Женщина,1974,2022,Казанская область,Долл Миллионер,627000000,15
559,Ильина К. К.,Женщина,2001,2022,Ульяновская область,Руб Миллионер,623000000,6
560,Магомедов С. Ю.,Мужчина,1962,2022,Ульяновская область,Долл Миллионер,678000000,12
561,Мржеретов О. Н.,Мужчина,1996,2022,Ульяновская область,Руб Миллионер,17000000,11
562,Перфишин Л. С.,Мужчина,1959,2003,Республика Татарстан,Руб Миллиардер,474000000,0
563,Панфилова Я. П.,Женщина,1954,2022,Казанская область,Руб Миллиардер,854000000,13
564,Пономарёва А. З.,Женщина,1983,2022,Ульяновская область,Долл Миллиардер,342000000,15
565,Москаль Я. Ч.,Мужчина,1998,2016,Казанская область,Руб Миллиардер,60000000,3
566,Серкин У. Щ.,Мужчина,2005,2022,Республика Татарстан,Руб Миллиардер,330000000,6
567,Шелыгин С. Л.,Мужчина,1973,2001,Ульяновская область,Долл Миллионер,228000000,12
568,Княгинин З. Я.,Мужчина,1966,2022,Казанская область,Руб Миллиардер,684000000,6
569,Хомяков С. П.,Мужчина,1960,2022,Ульяновская область,Долл Миллиардер,682000000,12
570,Фруентов С. Ш.,Мужчина,1980,2012,Казанская область,Долл Миллиардер,63000000,12
571,Веселова Ё. М.,Женщина,1967,2022,Казанская область,Руб Миллиардер,757000000,7
572,Киряев Ф. Я.,Мужчина,2000,2022,Казанская область,Долл Миллиардер,720000000,14
573,Свинопасов Ю. Ч.,Мужчина,2004,2022,Казанская область,Долл Миллионер,252000000,7
574,Кудряшова Д. Д.,Женщина,1973,2022,Ульяновская область,Долл Миллиардер,160000000,6
